date,url,title,desktop-score,mobile-score,desktop-overall-category,mobile-overall-category
4/23/2018,https://www.github.com,The world’s leading software development platform · GitHub,45,60,AVERAGE,FAST
4/23/2018,https://www.github.com,The world’s leading software development platform · GitHub,45,60,AVERAGE,FAST
